Attrition,Business Travel,Department,Education Field,Gender,Job Role,Marital Status,Over Time,Training Times Last Year,Age,Distance From Home,Education,Environment Satisfaction,Job Satisfaction,Monthly Income,Num Companies Worked,Percent Salary Hike,Relationship Satisfaction,Total Working Years,Years At Company,Years In Current Role,Years With Curr Manager
Yes,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Single,Yes,0,41,1,Associates Degree,2,4,5993,8,11,1,8,6,4,5
No,Travel_Frequently,R&D,Life Sciences,Male,Research Scientist,Married,No,3,49,8,High School,3,2,5130,1,23,4,10,10,7,7
Yes,Travel_Rarely,R&D,Other,Male,Laboratory Technician,Single,Yes,3,37,2,Associates Degree,4,3,2090,6,15,2,7,0,0,0
No,Travel_Frequently,R&D,Life Sciences,Female,Research Scientist,Married,Yes,3,33,3,Master's Degree,4,3,2909,1,11,3,8,8,7,0
No,Travel_Rarely,R&D,Medical,Male,Laboratory Technician,Married,No,3,27,2,High School,1,2,3468,9,12,4,6,2,2,2
No,Travel_Frequently,R&D,Life Sciences,Male,Laboratory Technician,Single,No,2,32,2,Associates Degree,4,4,3068,0,13,3,8,7,7,6
No,Travel_Rarely,R&D,Medical,Female,Laboratory Technician,Married,Yes,3,59,3,Bachelor's Degree,3,1,2670,4,20,1,12,1,0,0
No,Travel_Rarely,R&D,Life Sciences,Male,Laboratory Technician,Divorced,No,2,30,24,High School,4,3,2693,1,22,2,1,1,0,0
No,Travel_Frequently,R&D,Life Sciences,Male,Manufacturing Director,Single,No,2,38,23,Bachelor's Degree,4,3,9526,0,21,2,10,9,7,8
No,Travel_Rarely,R&D,Medical,Male,Healthcare Representative,Married,No,3,36,27,Bachelor's Degree,3,3,5237,6,13,2,17,7,7,7
No,Travel_Rarely,R&D,Medical,Male,Laboratory Technician,Married,No,5,35,16,Bachelor's Degree,1,2,2426,0,13,3,6,5,4,3
No,Travel_Rarely,R&D,Life Sciences,Female,Laboratory Technician,Single,Yes,3,29,15,Associates Degree,4,3,4193,0,12,4,10,9,5,8
No,Travel_Rarely,R&D,Life Sciences,Male,Research Scientist,Divorced,No,1,31,26,High School,1,3,2911,1,17,4,5,5,2,3
No,Travel_Rarely,R&D,Medical,Male,Laboratory Technician,Divorced,No,2,34,19,Associates Degree,2,4,2661,0,11,3,3,2,2,2
Yes,Travel_Rarely,R&D,Life Sciences,Male,Laboratory Technician,Single,Yes,4,28,24,Bachelor's Degree,3,3,2028,5,14,2,6,4,2,3
No,Travel_Rarely,R&D,Life Sciences,Female,Manufacturing Director,Divorced,No,1,29,21,Master's Degree,2,1,9980,1,11,3,10,10,9,8
No,Travel_Rarely,R&D,Life Sciences,Male,Research Scientist,Divorced,Yes,5,32,5,Associates Degree,1,2,3298,0,12,4,7,6,2,5
No,Non-Travel,R&D,Medical,Male,Laboratory Technician,Divorced,Yes,2,22,16,Associates Degree,4,4,2935,1,13,2,1,1,0,0
No,Travel_Rarely,Sales,Life Sciences,Female,Manager,Married,No,3,53,2,Master's Degree,1,4,15427,2,16,3,31,25,8,7
No,Travel_Rarely,R&D,Life Sciences,Male,Research Scientist,Single,Yes,3,38,2,Bachelor's Degree,4,4,3944,5,11,3,6,3,2,2
No,Non-Travel,R&D,Other,Female,Manufacturing Director,Divorced,No,5,24,11,Associates Degree,1,3,4011,0,18,4,5,4,2,3
Yes,Travel_Rarely,Sales,Life Sciences,Male,Sales Representative,Single,No,4,36,9,Master's Degree,3,1,3407,7,23,2,10,5,3,3
No,Travel_Rarely,R&D,Life Sciences,Female,Research Director,Single,No,4,34,7,Master's Degree,1,2,11994,0,11,3,13,12,6,11
No,Travel_Rarely,R&D,Life Sciences,Male,Research Scientist,Single,No,6,21,15,Associates Degree,3,4,1232,1,14,4,0,0,0,0
Yes,Travel_Rarely,R&D,Medical,Male,Research Scientist,Single,No,2,34,6,High School,2,1,2960,2,11,3,8,4,2,3
No,Travel_Rarely,R&D,Other,Female,Manager,Divorced,No,3,53,5,Bachelor's Degree,3,3,19094,4,11,4,26,14,13,8
Yes,Travel_Frequently,R&D,Life Sciences,Female,Research Scientist,Single,Yes,5,32,16,High School,2,1,3919,1,22,2,10,10,2,7
No,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Married,No,2,42,8,Master's Degree,3,2,6825,0,11,4,10,9,7,2
No,Travel_Rarely,R&D,Medical,Female,Healthcare Representative,Married,No,4,44,7,Master's Degree,1,4,10248,3,14,4,24,22,6,17
No,Travel_Rarely,Sales,Marketing,Female,Manager,Single,No,2,46,2,Master's Degree,2,1,18947,3,12,4,22,2,2,1
No,Travel_Rarely,R&D,Medical,Male,Laboratory Technician,Single,No,3,33,2,Bachelor's Degree,3,4,2496,4,11,4,7,1,1,0
No,Travel_Rarely,R&D,Other,Male,Healthcare Representative,Married,Yes,5,44,10,Master's Degree,4,4,6465,2,13,4,9,4,2,3
No,Travel_Rarely,R&D,Medical,Male,Laboratory Technician,Single,No,5,30,9,Associates Degree,4,3,2206,1,13,1,10,10,0,8
Yes,Travel_Rarely,Sales,Technical Degree,Male,Sales Representative,Married,No,6,39,5,Bachelor's Degree,4,4,2086,3,14,3,19,1,0,0
Yes,Travel_Rarely,R&D,Medical,Male,Research Scientist,Married,Yes,2,24,1,Bachelor's Degree,2,4,2293,2,16,1,6,2,0,0
No,Travel_Rarely,R&D,Medical,Female,Research Scientist,Divorced,No,3,43,2,Associates Degree,4,3,2645,1,12,4,6,5,3,4
Yes,Travel_Rarely,Sales,Marketing,Male,Sales Representative,Married,Yes,2,50,3,Associates Degree,1,3,2683,1,14,3,3,3,2,2
No,Travel_Rarely,Sales,Marketing,Female,Sales Representative,Married,No,3,35,2,Bachelor's Degree,4,4,2014,1,13,1,2,2,2,2
No,Travel_Rarely,R&D,Life Sciences,Female,Research Scientist,Married,Yes,3,36,5,Master's Degree,2,1,3419,9,14,4,6,1,1,0
No,Travel_Frequently,Sales,Life Sciences,Female,Sales Executive,Married,No,3,33,1,Bachelor's Degree,3,1,5376,2,19,1,10,5,3,3
No,Travel_Rarely,R&D,Other,Male,Laboratory Technician,Divorced,No,3,35,4,Associates Degree,3,4,1951,1,12,3,1,1,0,0
No,Travel_Rarely,R&D,Life Sciences,Female,Laboratory Technician,Divorced,No,6,27,2,Master's Degree,4,1,2341,1,13,4,1,1,0,0
Yes,Travel_Rarely,R&D,Life Sciences,Male,Laboratory Technician,Single,No,2,26,25,Bachelor's Degree,1,3,2293,1,12,3,1,1,0,1
No,Travel_Frequently,Sales,Life Sciences,Male,Sales Executive,Single,No,0,27,8,Bachelor's Degree,4,3,8726,1,15,4,9,9,8,7
No,Travel_Frequently,R&D,Medical,Female,Laboratory Technician,Single,No,2,30,1,Associates Degree,3,4,4011,1,23,4,12,12,8,7
Yes,Travel_Rarely,R&D,Technical Degree,Female,Research Director,Married,No,0,41,12,Bachelor's Degree,2,3,19545,1,12,4,23,22,15,8
No,Non-Travel,Sales,Marketing,Male,Sales Executive,Single,No,2,34,23,Master's Degree,2,3,4568,0,20,3,10,9,5,7
No,Travel_Rarely,R&D,Life Sciences,Male,Research Scientist,Married,No,1,37,19,Associates Degree,2,2,3022,4,21,1,8,1,0,0
No,Travel_Frequently,Sales,Marketing,Male,Sales Executive,Single,Yes,4,46,5,Master's Degree,1,4,5772,4,21,3,14,9,6,8
No,Travel_Rarely,R&D,Life Sciences,Male,Laboratory Technician,Married,No,2,35,8,High School,4,4,2269,1,19,4,1,1,0,1
Yes,Travel_Rarely,R&D,Life Sciences,Male,Laboratory Technician,Single,Yes,2,48,1,Associates Degree,1,3,5381,9,13,4,23,1,0,0
Yes,Travel_Rarely,R&D,Technical Degree,Male,Laboratory Technician,Single,Yes,3,28,5,Master's Degree,3,3,3441,1,13,3,2,2,2,2
No,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Divorced,Yes,2,44,1,Doctoral Degree,2,1,5454,5,21,3,9,4,3,3
